th "" 		## Реплика внутреннего голоса
un ""		## Реплика Лены
dv ""		## Реплика Алисы
us ""		## Реплика Ульяны
sl ""		## Реплика Реплика Слави
mi ""		## Реплика Мику
uv ""		## Реплика Юли
el ""		## Реплика Электроника
sh ""		## Реплика Шурика
mz ""		## Реплика Жени
mt ""		## Реплика Ольги Дмитриевны
cs ""		## Реплика Виолы
pi ""		## Реплика Пионера
all ""		## Реплика - "Пионеры"
voice ""	## Реплика - "Голос"
voices ""	## Реплика - "Голоса"
dreamgirl ""	## Реплика - "..."
kids ""		## Реплика - "Малышня"
lk ""		## Реплика - "Луркмор-кун"
dy ""		## Реплика - "Голос из динамика"
odn ""		## Реплика - "Одногруппник"
me ""		## Реплика Семёна
mep "" 		## Реплика Парень
unp ""		## Реплика Пионерка (Лена)
dvp ""		## Реплика Пионерка (Алиса)
usp ""		## Реплика Пионерка (Ульяна)
slp ""		## Реплика Пионерка (Славя)
mip ""		## Реплика Пионерка (Мику)
uvp ""		## Реплика Странная девочка (Юля)
elp ""		## Реплика Пионер (Электроник)
shp ""		## Реплика Пионер (Шурик)
mzp ""		## Реплика Пионерка (Женя)
mtp ""		## Реплика Вожатая (Ольга Дмитревна)
csp ""		## Реплика Медсестра (Виола)
